acmi_id,acmi_name,wikidata_id,wikidata_name,acmi_title,wikidata_title,match
28164,ERMANNO OLMI,Q3731939,ERMANNO ROVERI,THE TREE OF WOODEN CLOGS,THE LAST OF THE BERGERACS,53
28164,ERMANNO OLMI,Q3731939,ERMANNO ROVERI,LONG LIVE THE LADY!,LA SEGRETARIA PRIVATA,41
28164,ERMANNO OLMI,Q3731939,ERMANNO ROVERI,THE LEGEND OF THE HOLY DRINKER,THE LAST OF THE BERGERACS,55
28164,ERMANNO OLMI,Q21475230,HERMAN NOWLIN,THE TREE OF WOODEN CLOGS,RIDERS OF DESTINY,39
28164,ERMANNO OLMI,Q21475230,HERMAN NOWLIN,LONG LIVE THE LADY!,RIDERS OF DESTINY,29
28164,ERMANNO OLMI,Q21475230,HERMAN NOWLIN,THE LEGEND OF THE HOLY DRINKER,RIDERS OF DESTINY,38
28164,ERMANNO OLMI,Q3731936,ERMANNO RANDI,THE TREE OF WOODEN CLOGS,THE CLIFF OF SIN,45
28164,ERMANNO OLMI,Q3731936,ERMANNO RANDI,LONG LIVE THE LADY!,THE CLIFF OF SIN,53
28164,ERMANNO OLMI,Q3731936,ERMANNO RANDI,THE LEGEND OF THE HOLY DRINKER,"ENRICO CARUSO, LEGGENDA DI UNA VOCE",44
28164,ERMANNO OLMI,Q114063,ERMANNO OLMI,THE TREE OF WOODEN CLOGS,THE TREE OF WOODEN CLOGS,100
28164,ERMANNO OLMI,Q114063,ERMANNO OLMI,LONG LIVE THE LADY!,LONG LIVE THE LADY!,100
28164,ERMANNO OLMI,Q114063,ERMANNO OLMI,THE LEGEND OF THE HOLY DRINKER,THE LEGEND OF THE HOLY DRINKER,100
28164,ERMANNO OLMI,Q20968368,NOEMI MANZANO,THE TREE OF WOODEN CLOGS,LOS VELAZQUEZ,32
28164,ERMANNO OLMI,Q20968368,NOEMI MANZANO,LONG LIVE THE LADY!,EL FAMILIAR,28
28164,ERMANNO OLMI,Q20968368,NOEMI MANZANO,THE LEGEND OF THE HOLY DRINKER,LA GUITA,16
28164,ERMANNO OLMI,Q323063,WOLF BIERMANN,THE TREE OF WOODEN CLOGS,DEUTSCHLAND IM HERBST,27
28164,ERMANNO OLMI,Q323063,WOLF BIERMANN,LONG LIVE THE LADY!,DEUTSCHLAND IM HERBST,31
28164,ERMANNO OLMI,Q323063,WOLF BIERMANN,THE LEGEND OF THE HOLY DRINKER,DEUTSCHLAND IM HERBST,39
28164,ERMANNO OLMI,Q117341,VILLI HERMANN,THE TREE OF WOODEN CLOGS,THE HOMELESS ONE,40
28164,ERMANNO OLMI,Q117341,VILLI HERMANN,LONG LIVE THE LADY!,THE HOMELESS ONE,47
28164,ERMANNO OLMI,Q117341,VILLI HERMANN,THE LEGEND OF THE HOLY DRINKER,THE HOMELESS ONE,48
28164,ERMANNO OLMI,Q21279047,OLLIE LANVERMANN,THE TREE OF WOODEN CLOGS,HEAT WAVE,36
28164,ERMANNO OLMI,Q21279047,OLLIE LANVERMANN,LONG LIVE THE LADY!,HEAT WAVE,30
28164,ERMANNO OLMI,Q21279047,OLLIE LANVERMANN,THE LEGEND OF THE HOLY DRINKER,HEAT WAVE,21
28164,ERMANNO OLMI,Q1747396,KOLJA ERDMANN,THE TREE OF WOODEN CLOGS,WILD HUNGARY - A WATER WONDERLAND,25
28164,ERMANNO OLMI,Q1747396,KOLJA ERDMANN,LONG LIVE THE LADY!,"RUSSLAND - IM REICH DER TIGER, BAREN UND VULKANE",19
28164,ERMANNO OLMI,Q1747396,KOLJA ERDMANN,THE LEGEND OF THE HOLY DRINKER,"RUSSLAND - IM REICH DER TIGER, BAREN UND VULKANE",29
