acmi_id,acmi_name,wikidata_id,wikidata_name,acmi_title,wikidata_title,match
38859,ALAN SMITH,Q21104290,SALLY SMITH,MIDDLE DISTANCE RUNNING; HURDLING; THE SPRINT,MOONSTALKER,19
38859,ALAN SMITH,Q658826,MARTIN SMITH,MIDDLE DISTANCE RUNNING; HURDLING; THE SPRINT,PURPLE TRIANGLES,34
38859,ALAN SMITH,Q432742,MELANIE SMITH,MIDDLE DISTANCE RUNNING; HURDLING; THE SPRINT,TRANCERS III,29
38859,ALAN SMITH,Q2838353,ALLISON SMITH,MIDDLE DISTANCE RUNNING; HURDLING; THE SPRINT,A REASON TO BELIEVE,32
38859,ALAN SMITH,Q1755010,COLIN SMITH,MIDDLE DISTANCE RUNNING; HURDLING; THE SPRINT,BILLY MADISON,14
38859,ALAN SMITH,Q3014695,DANIEL SMITH,MIDDLE DISTANCE RUNNING; HURDLING; THE SPRINT,INSTITUT BENJAMENTA,16
38859,ALAN SMITH,Q2396122,DANNY SMITH,MIDDLE DISTANCE RUNNING; HURDLING; THE SPRINT,THE BIG HIT,33
38859,ALAN SMITH,Q3013009,SAMANTHA SMITH,MIDDLE DISTANCE RUNNING; HURDLING; THE SPRINT,THE CHOSEN ONE,25
38859,ALAN SMITH,Q4707343,ALAN MITCHELL,MIDDLE DISTANCE RUNNING; HURDLING; THE SPRINT,TWELFTH NIGHT,25
38859,ALAN SMITH,Q2761378,ALVY RAY SMITH,MIDDLE DISTANCE RUNNING; HURDLING; THE SPRINT,THE PIXAR STORY,28
38859,ALAN SMITH,Q107283038,PAT SMITH,MIDDLE DISTANCE RUNNING; HURDLING; THE SPRINT,BARNEY'S TALENT SHOW,22
38859,ALAN SMITH,Q216614,ALAN SMITH,MIDDLE DISTANCE RUNNING; HURDLING; THE SPRINT,AN ALAN SMITHEE FILM: BURN HOLLYWOOD BURN,27
38859,ALAN SMITH,Q3486813,SLY SMITH,MIDDLE DISTANCE RUNNING; HURDLING; THE SPRINT,VEGAS VACATION,7
38859,ALAN SMITH,Q7441439,SEAN SMITH,MIDDLE DISTANCE RUNNING; HURDLING; THE SPRINT,INTO MY HEART,21
38859,ALAN SMITH,Q7441441,SEAN SMITH,MIDDLE DISTANCE RUNNING; HURDLING; THE SPRINT,INTO MY HEART,21
38859,ALAN SMITH,Q5054501,CAULEEN SMITH,MIDDLE DISTANCE RUNNING; HURDLING; THE SPRINT,DRYLONGSO,23
38859,ALAN SMITH,Q7440793,SEAN-MICHAEL SMITH,MIDDLE DISTANCE RUNNING; HURDLING; THE SPRINT,DANCER IN THE DARK,43
38859,ALAN SMITH,Q1368113,KAVAN SMITH,MIDDLE DISTANCE RUNNING; HURDLING; THE SPRINT,STARK RAVING MAD,31
38859,ALAN SMITH,Q21282405,DARRYL SMITH,MIDDLE DISTANCE RUNNING; HURDLING; THE SPRINT,THIRTEEN DAYS,21
38859,ALAN SMITH,Q6480916,LAMAR SMITH,MIDDLE DISTANCE RUNNING; HURDLING; THE SPRINT,THIRTEEN DAYS,21
38859,ALAN SMITH,Q7153649,PAUL SMITH,MIDDLE DISTANCE RUNNING; HURDLING; THE SPRINT,MONSTER'S BALL,21
38859,ALAN SMITH,Q2837913,ALLEN SMITH,MIDDLE DISTANCE RUNNING; HURDLING; THE SPRINT,THE HIDDEN FORTRESS,39
38859,ALAN SMITH,Q212070,ADRIAN SMITH,MIDDLE DISTANCE RUNNING; HURDLING; THE SPRINT,THE WARRIOR,11
38859,ALAN SMITH,Q960580,GAVIN SMITH,MIDDLE DISTANCE RUNNING; HURDLING; THE SPRINT,MY AWKWARD SEXUAL ADVENTURE,31
38859,ALAN SMITH,Q4717808,ALEXANDER SMITH,MIDDLE DISTANCE RUNNING; HURDLING; THE SPRINT,THE SLAUGHTER RULE,30
38859,ALAN SMITH,Q5318772,DYLAN SMITH,MIDDLE DISTANCE RUNNING; HURDLING; THE SPRINT,THE FORGOTTEN BATTLE,32
38859,ALAN SMITH,Q2648383,ALLEN SMITH,MIDDLE DISTANCE RUNNING; HURDLING; THE SPRINT,LA GRANDE SEDUCTION,29
38859,ALAN SMITH,Q47498831,GRAHAM SMITH,MIDDLE DISTANCE RUNNING; HURDLING; THE SPRINT,THE PRINCIPLES OF LUST,37
38859,ALAN SMITH,Q7408171,SAM SMITH,MIDDLE DISTANCE RUNNING; HURDLING; THE SPRINT,WONDROUS OBLIVION,27
38859,ALAN SMITH,Q4791534,ARJAY SMITH,MIDDLE DISTANCE RUNNING; HURDLING; THE SPRINT,FIRST SUNDAY,22
38859,ALAN SMITH,Q23900490,SEAN SMITH,MIDDLE DISTANCE RUNNING; HURDLING; THE SPRINT,THE BOURNE SUPREMACY,32
38859,ALAN SMITH,Q21024298,BRYAN SMITH,MIDDLE DISTANCE RUNNING; HURDLING; THE SPRINT,50 CENT: REFUSE 2 DIE,25
38859,ALAN SMITH,Q221364,JADEN SMITH,MIDDLE DISTANCE RUNNING; HURDLING; THE SPRINT,THE DAY THE EARTH STOOD STILL,33
38859,ALAN SMITH,Q6118147,JACLYN A. SMITH,MIDDLE DISTANCE RUNNING; HURDLING; THE SPRINT,AMERICAN PIE PRESENTS: THE NAKED MILE,51
38859,ALAN SMITH,Q270414,ANNE SMITH,MIDDLE DISTANCE RUNNING; HURDLING; THE SPRINT,HALF LIGHT,23
38859,ALAN SMITH,Q640289,GRAHAM SMITH,MIDDLE DISTANCE RUNNING; HURDLING; THE SPRINT,DEATH OF A PRESIDENT,22
38859,ALAN SMITH,Q21506005,NEVADA SMITH,MIDDLE DISTANCE RUNNING; HURDLING; THE SPRINT,THE GUARDIAN,29
38859,ALAN SMITH,Q6483548,LANCE SMITH,MIDDLE DISTANCE RUNNING; HURDLING; THE SPRINT,BLUE COLLAR COMEDY TOUR: ONE FOR THE ROAD,29
38859,ALAN SMITH,Q14950522,DARYL SMITH,MIDDLE DISTANCE RUNNING; HURDLING; THE SPRINT,CRACKHEADS GONE WILD,19
38859,ALAN SMITH,Q21503499,SANDRA SMITH,MIDDLE DISTANCE RUNNING; HURDLING; THE SPRINT,THE GAP,24
38859,ALAN SMITH,Q69592752,MEGAN SMITH,MIDDLE DISTANCE RUNNING; HURDLING; THE SPRINT,GOODBYE BAFANA,11
38859,ALAN SMITH,Q7456449,SETH CAPLAN,MIDDLE DISTANCE RUNNING; HURDLING; THE SPRINT,IN SEARCH OF A MIDNIGHT KISS,37
38859,ALAN SMITH,Q3453858,RYAN SMITH,MIDDLE DISTANCE RUNNING; HURDLING; THE SPRINT,CLOSING ESCROW,25
38859,ALAN SMITH,Q7372515,ROY ALLEN SMITH,MIDDLE DISTANCE RUNNING; HURDLING; THE SPRINT,MOSAIC,8
38859,ALAN SMITH,Q5364567,ELLA SMITH,MIDDLE DISTANCE RUNNING; HURDLING; THE SPRINT,ST TRINIAN'S 2: THE LEGEND OF FRITTON'S GOLD,28
