acmi_id,acmi_name,wikidata_id,wikidata_name,acmi_title,wikidata_title,match
32762,ROBIN RIDGEWAY,Q5268209,DEWEY ROBINSON,MOVING AND LIFTING THE DISABLED PERSON,MURDER ON THE CAMPUS,41
32762,ROBIN RIDGEWAY,Q279382,DANY ROBIN,MOVING AND LIFTING THE DISABLED PERSON,LES AMOUREUX SONT SEULS AU MONDE,43
32762,ROBIN RIDGEWAY,Q7352381,ROBIN ESTRIDGE,MOVING AND LIFTING THE DISABLED PERSON,EYE OF THE DEVIL,41
32762,ROBIN RIDGEWAY,Q3437083,ROBIN HARDY,MOVING AND LIFTING THE DISABLED PERSON,THE FANTASIST,35
32762,ROBIN RIDGEWAY,Q7349286,ROBERT RIDGELY,MOVING AND LIFTING THE DISABLED PERSON,THE DIRK DIGGLER STORY,40
32762,ROBIN RIDGEWAY,Q724918,ROBIN RIKER,MOVING AND LIFTING THE DISABLED PERSON,IN THE HEAT OF PASSION II: UNFAITHFUL,46
32762,ROBIN RIDGEWAY,Q7352350,ROBIN DAVEY,MOVING AND LIFTING THE DISABLED PERSON,THE CANARY EFFECT,36
