acmi_id,acmi_name,wikidata_id,wikidata_name,acmi_title,wikidata_title,match
28596,ANNE KIMMEL,Q30232303,ANNE KIMBELL,EATING RAOUL,THE BOB MATHIAS STORY,30
28596,ANNE KIMMEL,Q38471486,ANNE KEHLER,EATING RAOUL,SMIL EMIL,38
28596,ANNE KIMMEL,Q2710548,ANNELINE KRIEL,EATING RAOUL,KILL AND KILL AGAIN,39
28596,ANNE KIMMEL,Q508282,DANA KIMMELL,EATING RAOUL,LONE WOLF MCQUADE,34
28596,ANNE KIMMEL,Q12301866,ANNE WIVEL,EATING RAOUL,GORILLA GORILLA,22
28596,ANNE KIMMEL,Q565835,ANNE TISMER,EATING RAOUL,PASSING SUMMER,46
28596,ANNE KIMMEL,Q30303315,ADAM KIMMEL,EATING RAOUL,RUDO Y CURSI,33
28596,ANNE KIMMEL,Q285043,KIMBERLY KANE,EATING RAOUL,BATMAN XXX,36
28596,ANNE KIMMEL,Q565216,ANNE DIEMER,EATING RAOUL,PORNORAMA,29
28596,ANNE KIMMEL,Q453957,AMANDA KIMMEL,EATING RAOUL,INTO THE BLUE 2: THE REEF,28
28596,ANNE KIMMEL,Q18222762,ANNE LINSEL,EATING RAOUL,DANCING DREAMS,54
28596,ANNE KIMMEL,Q17105088,KARI ANNE MOE,EATING RAOUL,TIL UNGDOMMEN,40
28596,ANNE KIMMEL,Q57736370,ANDRE KRUMMEL,EATING RAOUL,BERLIN EXCELSIOR,36
