acmi_id,acmi_name,wikidata_id,wikidata_name,acmi_title,wikidata_title,match
58875,CARLTON TELEVISION,Q312628,CARLO LEVI,COLOUR OF WAR,CRISTO SI E FERMATO A EBOLI,25
58875,CARLTON TELEVISION,Q312628,CARLO LEVI,COLOUR OF WAR [DVD],CHRIST STOPPED AT EBOLI,25
58875,CARLTON TELEVISION,Q312628,CARLO LEVI,MUHAMMAD ALI: THROUGH THE EYES OF THE WORLD,IL GRIDO DELLA TERRA,23
58875,CARLTON TELEVISION,Q1607011,EMILIO CARTON,COLOUR OF WAR,SUNDAY HEROES,23
58875,CARLTON TELEVISION,Q1607011,EMILIO CARTON,COLOUR OF WAR [DVD],GLI EROI DELLA DOMENICA,30
58875,CARLTON TELEVISION,Q1607011,EMILIO CARTON,MUHAMMAD ALI: THROUGH THE EYES OF THE WORLD,SUNDAY HEROES,22
58875,CARLTON TELEVISION,Q6395981,KEVIN CARLSON,COLOUR OF WAR,THEODORE REX,24
58875,CARLTON TELEVISION,Q6395981,KEVIN CARLSON,COLOUR OF WAR [DVD],THEODORE REX,21
58875,CARLTON TELEVISION,Q6395981,KEVIN CARLSON,MUHAMMAD ALI: THROUGH THE EYES OF THE WORLD,THEODORE REX,30
58875,CARLTON TELEVISION,Q444652,CARL LEVIN,COLOUR OF WAR,THE LIFE AND TIMES OF HANK GREENBERG,20
58875,CARLTON TELEVISION,Q444652,CARL LEVIN,COLOUR OF WAR [DVD],THE LIFE AND TIMES OF HANK GREENBERG,19
58875,CARLTON TELEVISION,Q444652,CARL LEVIN,MUHAMMAD ALI: THROUGH THE EYES OF THE WORLD,THE LIFE AND TIMES OF HANK GREENBERG,36
