acmi_id,acmi_name,wikidata_id,wikidata_name,acmi_title,wikidata_title,match
75751,ROSALIND GILLESPIE,Q1524866,GINA GILLESPIE,CLIMBERS (TEFC),IT HAPPENED TO JANE,25
75751,ROSALIND GILLESPIE,Q1524866,GINA GILLESPIE,HANDMAIDENS AND BATTLEAXES,IT HAPPENED TO JANE,18
75751,ROSALIND GILLESPIE,Q5864965,ROBERT GILLESPIE,CLIMBERS (TEFC),FORCE 10 FROM NAVARONE,17
75751,ROSALIND GILLESPIE,Q5864965,ROBERT GILLESPIE,HANDMAIDENS AND BATTLEAXES,FORCE 10 FROM NAVARONE,12
75751,ROSALIND GILLESPIE,Q15149003,GILLES SANDOZ,CLIMBERS (TEFC),THE LITTLE THIEF,48
75751,ROSALIND GILLESPIE,Q15149003,GILLES SANDOZ,HANDMAIDENS AND BATTLEAXES,MARIUS AND JEANNETTE,57
75751,ROSALIND GILLESPIE,Q7367214,ROSALIND ALLEN,CLIMBERS (TEFC),INFESTED,48
75751,ROSALIND GILLESPIE,Q7367214,ROSALIND ALLEN,HANDMAIDENS AND BATTLEAXES,PINOCCHIO'S REVENGE,27
75751,ROSALIND GILLESPIE,Q3181584,JOHN GILLESPIE,CLIMBERS (TEFC),DEADLY HEROES,31
75751,ROSALIND GILLESPIE,Q3181584,JOHN GILLESPIE,HANDMAIDENS AND BATTLEAXES,DEADLY HEROES,26
75751,ROSALIND GILLESPIE,Q368082,JIM GILLESPIE,CLIMBERS (TEFC),I KNOW WHAT YOU DID LAST SUMMER,27
75751,ROSALIND GILLESPIE,Q368082,JIM GILLESPIE,HANDMAIDENS AND BATTLEAXES,D-TOX,26
75751,ROSALIND GILLESPIE,Q21511711,NADIA GILLESPIE,CLIMBERS (TEFC),IN TWILIGHT'S SHADOW,18
75751,ROSALIND GILLESPIE,Q21511711,NADIA GILLESPIE,HANDMAIDENS AND BATTLEAXES,IN TWILIGHT'S SHADOW,35
