acmi_id,acmi_name,wikidata_id,wikidata_name,acmi_title,wikidata_title,match
77127,RICHARD CAMPBELL,Q506404,RICHARD L. BREEN,LIZARDS OF OZ; WOMBATS: BULLDOZERS OF THE BUSH,THE MODEL AND THE MARRIAGE BROKER,36
77127,RICHARD CAMPBELL,Q15098032,RICHARD ALLAN,LIZARDS OF OZ; WOMBATS: BULLDOZERS OF THE BUSH,WITH A SONG IN MY HEART,21
77127,RICHARD CAMPBELL,Q1368007,RICHARD ARNELL,LIZARDS OF OZ; WOMBATS: BULLDOZERS OF THE BUSH,THE THIRD SECRET,27
77127,RICHARD CAMPBELL,Q510732,RICHARD ALLAN,LIZARDS OF OZ; WOMBATS: BULLDOZERS OF THE BUSH,THE CSARDAS KING,33
77127,RICHARD CAMPBELL,Q288949,RICHARD BELLIS,LIZARDS OF OZ; WOMBATS: BULLDOZERS OF THE BUSH,REFLECTIONS OF CHINA,28
77127,RICHARD CAMPBELL,Q26944194,RICHARD CASTLE,LIZARDS OF OZ; WOMBATS: BULLDOZERS OF THE BUSH,SIX BRIDGES TO CROSS,34
77127,RICHARD CAMPBELL,Q30870820,RICHARD C. MEYER,LIZARDS OF OZ; WOMBATS: BULLDOZERS OF THE BUSH,PYRO... THE THING WITHOUT A FACE,25
77127,RICHARD CAMPBELL,Q7327768,RICHARD MEIKLE,LIZARDS OF OZ; WOMBATS: BULLDOZERS OF THE BUSH,THE STRONG ARE LONELY,28
77127,RICHARD CAMPBELL,Q922700,RICHARD E. CUNHA,LIZARDS OF OZ; WOMBATS: BULLDOZERS OF THE BUSH,GIANT FROM THE UNKNOWN,30
77127,RICHARD CAMPBELL,Q1167481,RICHARD LASALLE,LIZARDS OF OZ; WOMBATS: BULLDOZERS OF THE BUSH,THE BROKEN LAND,37
77127,RICHARD CAMPBELL,Q7323900,RICHARD BAER,LIZARDS OF OZ; WOMBATS: BULLDOZERS OF THE BUSH,LIFE BEGINS AT 17,26
77127,RICHARD CAMPBELL,Q3431055,RICHARD MULLER,LIZARDS OF OZ; WOMBATS: BULLDOZERS OF THE BUSH,COURRIER DU COEUR,20
77127,RICHARD CAMPBELL,Q2149212,RICHARD CHANEY,LIZARDS OF OZ; WOMBATS: BULLDOZERS OF THE BUSH,PLAN 9 FROM OUTER SPACE,18
77127,RICHARD CAMPBELL,Q107044711,RICHARD A. KELLEY,LIZARDS OF OZ; WOMBATS: BULLDOZERS OF THE BUSH,TOP OF THE HEAP,37
77127,RICHARD CAMPBELL,Q376140,RICHARD KIEL,LIZARDS OF OZ; WOMBATS: BULLDOZERS OF THE BUSH,THE HUMAN DUPLICATORS,37
77127,RICHARD CAMPBELL,Q268591,RICHARD CHAMBERS,LIZARDS OF OZ; WOMBATS: BULLDOZERS OF THE BUSH,TOO LATE BLUES,34
77127,RICHARD CAMPBELL,Q2150058,RICHARD LANE,LIZARDS OF OZ; WOMBATS: BULLDOZERS OF THE BUSH,YOU CAN'T SEE 'ROUND CORNERS,31
77127,RICHARD CAMPBELL,Q1342887,RICHARD CARPENTER,LIZARDS OF OZ; WOMBATS: BULLDOZERS OF THE BUSH,THE PASSWORD IS COURAGE,33
77127,RICHARD CAMPBELL,Q6858514,MILLARD LAMPELL,LIZARDS OF OZ; WOMBATS: BULLDOZERS OF THE BUSH,GOLD FOR THE CAESARS,34
77127,RICHARD CAMPBELL,Q1333440,ERIC CAMPBELL,LIZARDS OF OZ; WOMBATS: BULLDOZERS OF THE BUSH,30 YEARS OF FUN,27
77127,RICHARD CAMPBELL,Q7327557,RICHARD M. POWELL,LIZARDS OF OZ; WOMBATS: BULLDOZERS OF THE BUSH,WILD AND WONDERFUL,16
77127,RICHARD CAMPBELL,Q1970649,RICHARD BULL,LIZARDS OF OZ; WOMBATS: BULLDOZERS OF THE BUSH,HOUR OF THE GUN,34
77127,RICHARD CAMPBELL,Q464714,RICHARD S. CASTELLANO,LIZARDS OF OZ; WOMBATS: BULLDOZERS OF THE BUSH,NIGHT OF THE JUGGLER,41
77127,RICHARD CAMPBELL,Q63120711,RICHARD KAPLAN,LIZARDS OF OZ; WOMBATS: BULLDOZERS OF THE BUSH,THE ELEANOR ROOSEVELT STORY,23
77127,RICHARD CAMPBELL,Q3290618,MARGOT CAMPBELL,LIZARDS OF OZ; WOMBATS: BULLDOZERS OF THE BUSH,LA NEIGE A FONDU SUR LA MANICOUAGAN,23
77127,RICHARD CAMPBELL,Q2149684,RICHARD HALLER,LIZARDS OF OZ; WOMBATS: BULLDOZERS OF THE BUSH,OUR WILLI IS THE BEST,43
77127,RICHARD CAMPBELL,Q3343754,NORMAN CAMPBELL,LIZARDS OF OZ; WOMBATS: BULLDOZERS OF THE BUSH,BALLERINA,26
77127,RICHARD CAMPBELL,Q4144990,CAREL TRICHARDT,LIZARDS OF OZ; WOMBATS: BULLDOZERS OF THE BUSH,KRUGER MILJOENE,24
77127,RICHARD CAMPBELL,Q7324118,RICHARD BERG,LIZARDS OF OZ; WOMBATS: BULLDOZERS OF THE BUSH,HOUSE OF CARDS,31
77127,RICHARD CAMPBELL,Q15921746,RICHARD DANEEL,LIZARDS OF OZ; WOMBATS: BULLDOZERS OF THE BUSH,STADIG OOR DIE KLIPPE,31
77127,RICHARD CAMPBELL,Q3430620,RICHARD CARR,LIZARDS OF OZ; WOMBATS: BULLDOZERS OF THE BUSH,HEAVEN WITH A GUN,20
77127,RICHARD CAMPBELL,Q7324849,RICHARD COMPTON,LIZARDS OF OZ; WOMBATS: BULLDOZERS OF THE BUSH,THE FABULOUS BASTARD FROM CHICAGO,31
