acmi_id,acmi_name,wikidata_id,wikidata_name,acmi_title,wikidata_title,match
81435,DAVID H. VOWEL,Q5238681,DAVID POWELL,SAY GOODBYE,GLORIA'S ROMANCE,44
81435,DAVID H. VOWEL,Q491854,DAVID NEWELL,SAY GOODBYE,SPEEDY DELIVERY,38
81435,DAVID H. VOWEL,Q18811009,DAVID NEWELL,SAY GOODBYE,LET'S GO NATIVE,38
81435,DAVID H. VOWEL,Q449030,HAL DAVID,SAY GOODBYE,SEND ME NO FLOWERS,28
81435,DAVID H. VOWEL,Q3018095,DAVID HOWARD,SAY GOODBYE,THE GOLDEN WEST,46
81435,DAVID H. VOWEL,Q5235140,DAVID HORNE,SAY GOODBYE,BADGER'S GREEN,32
81435,DAVID H. VOWEL,Q1174759,DAVID HOLT,SAY GOODBYE,COURAGE OF LASSIE,29
81435,DAVID H. VOWEL,Q5236228,DAVID L. LOEW,SAY GOODBYE,WHEN'S YOUR BIRTHDAY?,32
81435,DAVID H. VOWEL,Q5240947,DAVID WELCH,SAY GOODBYE,URLAUB AUF EHRENWORT,13
81435,DAVID H. VOWEL,Q5235141,DAVID HORNE,SAY GOODBYE,GOODBYE AGAIN,58
81435,DAVID H. VOWEL,Q5234907,DAVID HENLEY,SAY GOODBYE,THE NIGHT WE DROPPED A CLANGER,24
81435,DAVID H. VOWEL,Q128379,DAVID PROWSE,SAY GOODBYE,GEEKS,38
81435,DAVID H. VOWEL,Q1174699,DAVID HEALY,SAY GOODBYE,THE DOUBLE MAN,40
81435,DAVID H. VOWEL,Q22101707,DAVID H. SAWYER,SAY GOODBYE,OTHER VOICES,35
81435,DAVID H. VOWEL,Q5649501,DAVID STIVEL,SAY GOODBYE,LOS HEREDEROS,25
81435,DAVID H. VOWEL,Q5238185,DAVID ODELL,SAY GOODBYE,FORE PLAY,50
81435,DAVID H. VOWEL,Q22101749,DAVID H. VOWELL,SAY GOODBYE,SAY GOODBYE,100
81435,DAVID H. VOWEL,Q5234655,DAVID HALLIWELL,SAY GOODBYE,LITTLE MALCOLM,24
81435,DAVID H. VOWEL,Q1176556,DAVID SCHOFIELD,SAY GOODBYE,BURKE & HARE,38
81435,DAVID H. VOWEL,Q16555505,DAVID WELLS,SAY GOODBYE,OTHER PEOPLE'S MONEY,32
