acmi_id,acmi_name,wikidata_id,wikidata_name,acmi_title,wikidata_title,match
12408,HARMON FOUNDATION,Q2150289,DAN HARMON,ANCIENT CHINESE PAINTINGS IN AMERICA,BACK IN TIME,33
12408,HARMON FOUNDATION,Q2150289,DAN HARMON,THE LOST WAX METHOD OF BRONZE CASTING,THE COMPLETE MASTER WORKS,42
12408,HARMON FOUNDATION,Q2150289,DAN HARMON,OUT OF A CHINESE PAINTING BRUSH (TEFC),BACK IN TIME,33
12408,HARMON FOUNDATION,Q109773165,SHARON FONTAINE,ANCIENT CHINESE PAINTINGS IN AMERICA,FACE OR PROFILE,27
12408,HARMON FOUNDATION,Q109773165,SHARON FONTAINE,THE LOST WAX METHOD OF BRONZE CASTING,FACE OR PROFILE,12
12408,HARMON FOUNDATION,Q109773165,SHARON FONTAINE,OUT OF A CHINESE PAINTING BRUSH (TEFC),FACE OR PROFILE,35
