acmi_id,acmi_name,wikidata_id,wikidata_name,acmi_title,wikidata_title,match
19014,CHRIS MCCULLOUGH,Q40474251,JIM MCCULLOUGH SR.,THE OTHER SIDE OF JAPAN,THE AURORA ENCOUNTER,51
19014,CHRIS MCCULLOUGH,Q40474251,JIM MCCULLOUGH SR.,THE INDIAN ARMY,THE AURORA ENCOUNTER,51
19014,CHRIS MCCULLOUGH,Q40474251,JIM MCCULLOUGH SR.,THE KULU VALLEY,THE AURORA ENCOUNTER,34
19014,CHRIS MCCULLOUGH,Q40474251,JIM MCCULLOUGH SR.,LADAKH: LITTLE TIBET,THE AURORA ENCOUNTER,41
19014,CHRIS MCCULLOUGH,Q40474251,JIM MCCULLOUGH SR.,PADDINGTON LACE,MOUNTAINTOP MOTEL MASSACRE,44
19014,CHRIS MCCULLOUGH,Q40474251,JIM MCCULLOUGH SR.,A WOMAN'S PLACE,MOUNTAINTOP MOTEL MASSACRE,44
19014,CHRIS MCCULLOUGH,Q40474251,JIM MCCULLOUGH SR.,IN THE FOOTSTEPS OF THE DANIELLS,CHARGE OF THE MODEL T'S,44
19014,CHRIS MCCULLOUGH,Q40474251,JIM MCCULLOUGH SR.,ANTARCTICA: PHYSICAL GEOGRAPHY,MOUNTAINTOP MOTEL MASSACRE,25
19014,CHRIS MCCULLOUGH,Q40474251,JIM MCCULLOUGH SR.,HINDI MOVIES,CHARGE OF THE MODEL T'S,34
19014,CHRIS MCCULLOUGH,Q40474251,JIM MCCULLOUGH SR.,A SIMPLE GOOD TIME,CHARGE OF THE MODEL T'S,44
19014,CHRIS MCCULLOUGH,Q40474251,JIM MCCULLOUGH SR.,COCHIN,MOUNTAINTOP MOTEL MASSACRE,25
19014,CHRIS MCCULLOUGH,Q40474251,JIM MCCULLOUGH SR.,RUMTEK MONASTERY,THE AURORA ENCOUNTER,44
19014,CHRIS MCCULLOUGH,Q40474251,JIM MCCULLOUGH SR.,SIMLA,MOUNTAINTOP MOTEL MASSACRE,13
19014,CHRIS MCCULLOUGH,Q40474251,JIM MCCULLOUGH SR.,THE POWER OF WATER,THE AURORA ENCOUNTER,47
19014,CHRIS MCCULLOUGH,Q21260487,BARBARA MCCULLOUGH,THE OTHER SIDE OF JAPAN,WATER RITUAL 1: AN URBAN RITE OF PURIFICATION,30
19014,CHRIS MCCULLOUGH,Q21260487,BARBARA MCCULLOUGH,THE INDIAN ARMY,WATER RITUAL 1: AN URBAN RITE OF PURIFICATION,20
19014,CHRIS MCCULLOUGH,Q21260487,BARBARA MCCULLOUGH,THE KULU VALLEY,WATER RITUAL 1: AN URBAN RITE OF PURIFICATION,27
19014,CHRIS MCCULLOUGH,Q21260487,BARBARA MCCULLOUGH,LADAKH: LITTLE TIBET,WATER RITUAL 1: AN URBAN RITE OF PURIFICATION,32
19014,CHRIS MCCULLOUGH,Q21260487,BARBARA MCCULLOUGH,PADDINGTON LACE,WATER RITUAL 1: AN URBAN RITE OF PURIFICATION,24
