acmi_id,acmi_name,wikidata_id,wikidata_name,acmi_title,wikidata_title,match
74296,PETER PEARSON,Q367629,PETER EGAN,SAUL ALINSKY WENT TO WAR,MAN TO MAN,41
74296,PETER PEARSON,Q367629,PETER EGAN,THROUGH CONFLICT TO NEGOTIATION,MAN TO MAN,34
74296,PETER PEARSON,Q367629,PETER EGAN,THE BEST DAMN FIDDLER FROM CALABOGIE TO KALADAR,200 MEAT DOGS SAVED FROM KOREA,34
74296,PETER PEARSON,Q367629,PETER EGAN,ALONG THESE LINES,THE I INSIDE,55
74296,PETER PEARSON,Q367629,PETER EGAN,ENCOUNTER WITH SAUL ALINSKY,THE HIRELING,31
74296,PETER PEARSON,Q367629,PETER EGAN,PEOPLE AND POWER,THE I INSIDE,36
74296,PETER PEARSON,Q4465,PETER JACKSON,SAUL ALINSKY WENT TO WAR,WEST OF MEMPHIS,41
74296,PETER PEARSON,Q4465,PETER JACKSON,THROUGH CONFLICT TO NEGOTIATION,THE HOBBIT: THE DESOLATION OF SMAUG,37
74296,PETER PEARSON,Q4465,PETER JACKSON,THE BEST DAMN FIDDLER FROM CALABOGIE TO KALADAR,THE HOBBIT: THE BATTLE OF THE FIVE ARMIES,39
74296,PETER PEARSON,Q4465,PETER JACKSON,ALONG THESE LINES,MORTAL ENGINES,52
74296,PETER PEARSON,Q4465,PETER JACKSON,ENCOUNTER WITH SAUL ALINSKY,THE HOBBIT: THE DESOLATION OF SMAUG,43
74296,PETER PEARSON,Q4465,PETER JACKSON,PEOPLE AND POWER,THE BEATLES: GET BACK,39
74296,PETER PEARSON,Q5791447,PETER HARRYSON,SAUL ALINSKY WENT TO WAR,GOTA KANAL ELLER VEM DROG UR PROPPEN?,27
74296,PETER PEARSON,Q5791447,PETER HARRYSON,THROUGH CONFLICT TO NEGOTIATION,GOTA KANAL ELLER VEM DROG UR PROPPEN?,36
74296,PETER PEARSON,Q5791447,PETER HARRYSON,THE BEST DAMN FIDDLER FROM CALABOGIE TO KALADAR,GOTA KANAL ELLER VEM DROG UR PROPPEN?,36
74296,PETER PEARSON,Q5791447,PETER HARRYSON,ALONG THESE LINES,LILLA JONSSONLIGAN PA STYVA LINAN,36
74296,PETER PEARSON,Q5791447,PETER HARRYSON,ENCOUNTER WITH SAUL ALINSKY,JONSSONLIGAN FAR GULDFEBER,30
74296,PETER PEARSON,Q5791447,PETER HARRYSON,PEOPLE AND POWER,GOTA KANAL ELLER VEM DROG UR PROPPEN?,35
74296,PETER PEARSON,Q7175657,PETER MARIS,SAUL ALINSKY WENT TO WAR,ALIEN SPECIES,38
74296,PETER PEARSON,Q7175657,PETER MARIS,THROUGH CONFLICT TO NEGOTIATION,DE STILTE VAN HET NADEREN,29
74296,PETER PEARSON,Q7175657,PETER MARIS,THE BEST DAMN FIDDLER FROM CALABOGIE TO KALADAR,LAND OF DOOM,31
74296,PETER PEARSON,Q7175657,PETER MARIS,ALONG THESE LINES,ALIEN SPECIES,47
74296,PETER PEARSON,Q7175657,PETER MARIS,ENCOUNTER WITH SAUL ALINSKY,ALIEN SPECIES,40
74296,PETER PEARSON,Q7175657,PETER MARIS,PEOPLE AND POWER,ALIEN SPECIES,41
