acmi-data-creator,wikidata-data-creator,acmi-data-work,wikidata-data-work
77237,Q359311,94875,Q278997
67518,Q103646,91452,Q1137831
67518,Q103646,87839,Q839341
67518,Q103646,93755,Q1105463
67518,Q103646,83092,Q515931
67518,Q103646,84623,Q1747211
67518,Q103646,85455,Q106428
67518,Q103646,95204,Q1127184
34749,Q562184,93086,Q5231252
34749,Q562184,115809,Q42956372
25257,Q457559,83117,Q1055796
33517,Q431191,92332,Q637748
33517,Q431191,92521,Q1304785
25999,Q6256182,83867,Q8028271
35392,Q1351715,93572,Q1304755
35392,Q1351715,116258,Q3235406
35392,Q1351715,116253,Q3227105
27426,Q1101927,85447,Q7762445
23426,Q3082537,116069,Q3201564
10491,Q269357,80728,Q664020
10491,Q269357,84005,Q1961894
10491,Q269357,80904,Q1056781
10491,Q269357,80729,Q2264443
10491,Q269357,80798,Q3279816
10491,Q269357,80730,Q339114
5048,Q295207,93544,Q958626
5048,Q295207,113520,Q289598
5048,Q295207,92498,Q498867
5048,Q295207,91445,Q514348
5048,Q295207,88090,Q506403
5048,Q295207,90478,Q221345
5048,Q295207,89867,Q1406821
5048,Q295207,88496,Q255376
4161,Q44131,88545,Q698111
4161,Q44131,90166,Q587566
4161,Q44131,88959,Q563723
4161,Q44131,80796,Q2265591
4161,Q44131,88546,Q695888
25121,Q50764,83018,Q689393
25121,Q50764,88767,Q1779486
25121,Q50764,83011,Q1193581
25121,Q50764,83109,Q1124867
25121,Q50764,83027,Q1848742
25121,Q50764,116167,Q1213752
25121,Q50764,115883,Q278476
25121,Q50764,115922,Q542527
25121,Q50764,116018,Q1848742
25121,Q50764,115905,Q1215948
25121,Q50764,116165,Q1171334
25121,Q50764,83017,Q2537080
25121,Q50764,83586,Q553649
25121,Q50764,89725,Q1609534
25121,Q50764,83012,Q2000541
22267,Q531208,83018,Q689393
22267,Q531208,88767,Q1779486
22267,Q531208,83011,Q1193581
22267,Q531208,83109,Q1124867
22267,Q531208,83027,Q1848742
22267,Q531208,116018,Q1848742
22267,Q531208,115914,Q1165071
22267,Q531208,79907,Q1165071
22267,Q531208,116165,Q1171334
22267,Q531208,83017,Q2537080
22267,Q531208,83012,Q2000541
71976,Q21084488,100503,Q845235
71976,Q21084488,94304,Q845235
71977,Q3090377,100503,Q845235
71977,Q3090377,94304,Q845235
71978,Q15176603,100503,Q845235
71978,Q15176603,94304,Q845235
71978,Q15176603,89261,Q911013
36217,Q313497,100503,Q845235
36217,Q313497,94304,Q845235
71814,Q51492,70794,Q3818851
71814,Q51492,65261,Q3821396
71814,Q51492,84618,Q475529
71814,Q51492,81465,Q59317
71814,Q51492,115153,Q1462630
71814,Q51492,84671,Q637835
71814,Q51492,76131,Q1520732
71814,Q51492,97616,Q2037430
71814,Q51492,79564,Q866120
71814,Q51492,83273,Q1619885
71814,Q51492,74464,Q7968392
71814,Q51492,90746,Q568239
71814,Q51492,65262,Q1387285
22015,Q51583,81325,Q498822
22015,Q51583,85050,Q1217922
22015,Q51583,88495,Q846908
22015,Q51583,85308,Q200299
22015,Q51583,84544,Q1304578
22015,Q51583,80450,Q1131173
22015,Q51583,81225,Q1212587
22015,Q51583,93785,Q431531
22015,Q51583,92551,Q1419980
22015,Q51583,79538,Q734950
22015,Q51583,85188,Q1813582
25067,Q740649,89036,Q448090
25067,Q740649,92986,Q1674807
25067,Q740649,92854,Q1489818
25067,Q740649,92985,Q1538005
25067,Q740649,92853,Q1674804
25067,Q740649,92984,Q449207
25067,Q740649,92940,Q1325568
25067,Q740649,89037,Q302927
25067,Q740649,92983,Q449222
25067,Q740649,89034,Q179508
28588,Q1900142,86545,Q748988
23171,Q357726,86869,Q250912
23171,Q357726,80964,Q1545013
23171,Q357726,91093,Q885894
23171,Q357726,86868,Q302181
23171,Q357726,87003,Q2297385
23171,Q357726,93595,Q332348
23171,Q357726,95043,Q1091580
78353,Q6174567,86869,Q250912
78353,Q6174567,86868,Q302181
26443,Q3128023,88118,Q636043
26443,Q3128023,88090,Q506403
26443,Q3128023,91657,Q836298
25137,Q167475,115944,Q25508
25137,Q167475,116275,Q25513
25137,Q167475,83023,Q734672
25137,Q167475,116150,Q1558569
25137,Q167475,115996,Q25503
25137,Q167475,116096,Q734672
13900,Q449220,80010,Q7735329
13900,Q449220,79360,Q1195774
13900,Q449220,80808,Q7723514
13900,Q449220,80954,Q1169380
13900,Q449220,83073,Q211373
13900,Q449220,85661,Q7736240
13900,Q449220,83504,Q880515
13900,Q449220,80969,Q1420374
13900,Q449220,79916,Q3283835
13900,Q449220,81047,Q6899176
13900,Q449220,80957,Q1113987
13900,Q449220,85660,Q5291409
13900,Q449220,95562,Q1806702
13900,Q449220,80719,Q7712494
76863,Q547078,95446,Q2748793
76863,Q547078,81297,Q130769
76863,Q547078,95589,Q262793
76863,Q547078,81332,Q1198497
76863,Q547078,81734,Q3522827
76863,Q547078,95587,Q3389042
71798,Q72291,85047,Q981189
71798,Q72291,81261,Q722648
71798,Q72291,79347,Q506638
71798,Q72291,85529,Q1263918
71798,Q72291,81877,Q2698650
71798,Q72291,79528,Q1174069
71798,Q72291,79566,Q2875
71798,Q72291,107883,Q497311
71798,Q72291,85624,Q1666238
71798,Q72291,82804,Q561208
71798,Q72291,82821,Q1199248
71798,Q72291,94652,Q964771
71798,Q72291,86949,Q964771
71798,Q72291,85069,Q1629592
71798,Q72291,79532,Q1430490
71798,Q72291,85066,Q1193704
24063,Q287607,85061,Q108946
24063,Q287607,89831,Q939142
24063,Q287607,93327,Q429311
24063,Q287607,90435,Q471169
24063,Q287607,82136,Q494722
24063,Q287607,84551,Q725552
24063,Q287607,82202,Q7810384
77060,Q507189,85061,Q108946
77060,Q507189,90435,Q471169
77060,Q507189,82136,Q494722
77060,Q507189,84551,Q725552
68097,Q103917,83284,Q1367548
68097,Q103917,93653,Q205447
68097,Q103917,89524,Q2625478
68097,Q103917,84569,Q1630996
68097,Q103917,92858,Q1382199
68097,Q103917,91472,Q1778532
68097,Q103917,91460,Q729794
77651,Q1614535,113520,Q289598
77652,Q7807241,113520,Q289598
82237,Q5246461,115735,Q1757776
79428,Q314342,115735,Q1757776
79428,Q314342,90680,Q1357016
23943,Q15437107,91794,Q7774445
23943,Q15437107,81678,Q3211385
30565,Q16731822,88487,Q1754021
21937,Q630981,80469,Q542988
21937,Q630981,81301,Q2208041
21937,Q630981,95603,Q2698019
21937,Q630981,95370,Q1018487
21937,Q630981,79447,Q2556456
21937,Q630981,88506,Q1897321
21937,Q630981,88434,Q1881769
21937,Q630981,88433,Q1060241
21937,Q630981,82907,Q1218111
21937,Q630981,85901,Q5641792
21937,Q630981,81907,Q1812591
21937,Q630981,88490,Q2604605
17156,Q6795186,85870,Q3202056
17156,Q6795186,95213,Q2846031
17156,Q6795186,95215,Q324615
17156,Q6795186,95197,Q543931
77681,Q51582,85870,Q3202056
77681,Q51582,94752,Q613485
77681,Q51582,84617,Q274167
77681,Q51582,89949,Q2565223
77681,Q51582,87947,Q952511
24057,Q95039,84616,Q595363
24057,Q95039,87397,Q2572561
24057,Q95039,91694,Q470499
24057,Q95039,92977,Q3280621
24057,Q95039,81779,Q1219363
71631,Q299419,85952,Q658204
71631,Q299419,86287,Q128761
71631,Q299419,81294,Q323827
71631,Q299419,116309,Q773816
71631,Q299419,88903,Q241925
71631,Q299419,86291,Q18402
71631,Q299419,93326,Q128761
71631,Q299419,86374,Q598109
76723,Q722032,81525,Q965200
76723,Q722032,87123,Q535096
76723,Q722032,92542,Q701939
10378,Q1381702,81525,Q965200
10378,Q1381702,115731,Q1772403
10378,Q1381702,81697,Q1772403
10378,Q1381702,92542,Q701939
75805,Q2903175,81525,Q965200
75805,Q2903175,77518,Q7928545
29726,Q5387293,87697,Q4659657
51006,Q13635614,94306,Q2028403
51006,Q13635614,95092,Q1149253
51006,Q13635614,94514,Q274895
51006,Q13635614,94878,Q1500112
79107,Q266535,94306,Q2028403
79107,Q266535,94514,Q274895
79107,Q266535,91874,Q284103
79107,Q266535,94878,Q1500112
61303,Q15807381,88465,Q1534298
61303,Q15807381,84158,Q108297
61303,Q15807381,90464,Q1754611
1640,Q953627,93546,Q2557189
1640,Q953627,85509,Q1752518
1640,Q953627,91700,Q2363856
1640,Q953627,88946,Q451603
731,Q2636034,93418,Q1516308
731,Q2636034,93934,Q600253
731,Q2636034,84960,Q255328
20079,Q5181140,93418,Q1516308
20079,Q5181140,83641,Q7730975
64484,Q532307,80995,Q7334087
64484,Q532307,79667,Q1692212
64484,Q532307,82090,Q7717807
64484,Q532307,93635,Q4749060
25379,Q55165,93156,Q952142
25379,Q55165,92789,Q932814
25379,Q55165,83213,Q80660
25379,Q55165,85412,Q1130211
25379,Q55165,92796,Q933437
21809,Q529856,79273,Q7718271
21809,Q529856,115811,Q15711504
21810,Q704612,79273,Q7718271
32780,Q722023,94704,Q7763076
32780,Q722023,92815,Q1068375
32780,Q722023,91202,Q332394
71632,Q924396,116115,Q1199284
71632,Q924396,116066,Q938851
71632,Q924396,92708,Q1199628
71632,Q924396,116323,Q86427
71632,Q924396,93332,Q86427
71632,Q924396,115980,Q86427
71632,Q924396,115885,Q2824418
71632,Q924396,115926,Q2625031
71632,Q924396,116036,Q12137068
71632,Q924396,86374,Q598109
71632,Q924396,116150,Q1558569
71632,Q924396,115905,Q1215948
71632,Q924396,115875,Q3221185
66729,Q1293513,93455,Q48984
66729,Q1293513,84630,Q133654
66729,Q1293513,85327,Q204057
66729,Q1293513,94876,Q352431
66729,Q1293513,93209,Q250954
66725,Q48987,93455,Q48984
66725,Q48987,84630,Q133654
66725,Q48987,85327,Q204057
66725,Q48987,94876,Q352431
66725,Q48987,86249,Q644485
66725,Q48987,93209,Q250954
66725,Q48987,89587,Q923009
2940,Q317814,85699,Q747034
2940,Q317814,85700,Q259332
2940,Q317814,90416,Q300357
2940,Q317814,85698,Q947446
2940,Q317814,90683,Q1315888
2940,Q317814,90395,Q641346
2940,Q317814,90396,Q300359
2940,Q317814,89962,Q1444780
2940,Q317814,89209,Q269326
10494,Q78719,92778,Q1543253
10494,Q78719,92781,Q594385
10494,Q78719,83473,Q2398429
10494,Q78719,93589,Q158047
25049,Q3177454,82918,Q1146960
25049,Q3177454,88184,Q3764015
25049,Q3177454,93885,Q591272
25049,Q3177454,92486,Q5559694
63814,Q262735,82918,Q1146960
63814,Q262735,92619,Q258092
63814,Q262735,86499,Q1198236
63814,Q262735,84537,Q426196
63814,Q262735,95039,Q659896
63814,Q262735,80506,Q950865
22246,Q5492176,79853,Q4657048
22246,Q5492176,79862,Q7719923
22246,Q5492176,79852,Q15039590
30025,Q6828266,87977,Q7739011
77366,Q548332,83284,Q1367548
77366,Q548332,87849,Q3040259
22865,Q3838983,88545,Q698111
22865,Q3838983,88959,Q563723
22865,Q3838983,80796,Q2265591
7139,Q739606,116180,Q2012425
7139,Q739606,86486,Q760244
7139,Q739606,116100,Q3525728
7139,Q739606,116186,Q582460
66943,Q2001,87773,Q243439
66943,Q2001,84158,Q108297
66943,Q2001,87845,Q592072
66943,Q2001,87818,Q471716
66943,Q2001,92804,Q209481
66943,Q2001,87502,Q186341
66943,Q2001,87851,Q936477
66943,Q2001,87775,Q747936
22751,Q51490,85056,Q1045165
22751,Q51490,81225,Q1212587
22751,Q51490,80670,Q707986
22751,Q51490,81179,Q760012
22751,Q51490,84560,Q733627
22751,Q51490,81309,Q1972788
22751,Q51490,81427,Q2395028
22751,Q51490,81142,Q1191081
22751,Q51490,86259,Q196933
22751,Q51490,84554,Q1218601
26733,Q521038,90544,Q1141420
26733,Q521038,87798,Q271690
26733,Q521038,92333,Q403033
26733,Q521038,86881,Q1341009
26733,Q521038,84848,Q72909
69669,Q1064570,90544,Q1141420
69669,Q1064570,89392,Q517958
23220,Q726445,95102,Q12129827
23220,Q726445,80991,Q3045502
23220,Q726445,95624,Q3045502
23220,Q726445,85235,Q12124874
23220,Q726445,85931,Q4968055
23220,Q726445,84011,Q3369170
25893,Q53004,86287,Q128761
25893,Q53004,83775,Q523624
25893,Q53004,88903,Q241925
25893,Q53004,88967,Q651982
25893,Q53004,115714,Q172837
25893,Q53004,93326,Q128761
25893,Q53004,85954,Q1170844
25893,Q53004,92869,Q683014
26032,Q4231940,86479,Q1460915
26032,Q4231940,89577,Q3281737
26032,Q4231940,90237,Q1088058
26032,Q4231940,83892,Q1218959
28549,Q1670475,86479,Q1460915
37345,Q3181844,95152,Q50231335
72381,Q60100,93804,Q630289
72381,Q60100,86884,Q640547
72381,Q60100,90453,Q105387
72381,Q60100,89492,Q24075
23660,Q2980609,115925,Q1186431
23660,Q2980609,81413,Q3335922
23661,Q337276,115925,Q1186431
23661,Q337276,116164,Q3368452
23661,Q337276,115876,Q1058203
23661,Q337276,81413,Q3335922
10435,Q51535,79518,Q636534
10435,Q51535,88450,Q2323002
10435,Q51535,88817,Q1144850
10435,Q51535,81916,Q2186004
10435,Q51535,79531,Q742219
10435,Q51535,93583,Q1345583
10435,Q51535,81220,Q1508130
10435,Q51535,95588,Q2119500
10435,Q51535,88469,Q960349
10435,Q51535,81242,Q3070718
10435,Q51535,91641,Q577757
10435,Q51535,81298,Q747570
10435,Q51535,81274,Q1066873
76718,Q2448548,81277,Q290679
76718,Q2448548,93885,Q591272
76718,Q2448548,80803,Q212129
56081,Q51547,81277,Q290679
56081,Q51547,83102,Q270510
56081,Q51547,94415,Q1356753
56081,Q51547,85486,Q237134
56081,Q51547,84588,Q387370
56081,Q51547,84256,Q196977
56081,Q51547,84528,Q1283810
56081,Q51547,84563,Q193570
56081,Q51547,113519,Q478209
17037,Q573327,81319,Q1423795
17037,Q573327,81308,Q1141582
17037,Q573327,80677,Q1282209
17037,Q573327,83567,Q3190248
17037,Q573327,71226,Q2634673
17037,Q573327,80906,Q22693221
17039,Q55260,81319,Q1423795
17039,Q55260,81282,Q228186
17039,Q55260,81308,Q1141582
17039,Q55260,81812,Q1089543
17039,Q55260,80677,Q1282209
17039,Q55260,81294,Q323827
17039,Q55260,88256,Q7785731
17039,Q55260,89427,Q1613944
17039,Q55260,91450,Q228186
17039,Q55260,81311,Q814296
17039,Q55260,80795,Q1323132
80395,Q3308437,93652,Q698492
21267,Q6255888,78814,Q12120119
21267,Q6255888,88102,Q5245250
21267,Q6255888,85421,Q56744258
21267,Q6255888,82306,Q4424397
21267,Q6255888,78362,Q7270879
83011,Q945227,116106,Q1994913
83011,Q945227,116091,Q674820
83011,Q945227,115908,Q3549780
47209,Q967302,86146,Q596984
47209,Q967302,85556,Q581501
32058,Q52409,116041,Q1546727
32058,Q52409,116294,Q603819
32058,Q52409,90278,Q865580
32058,Q52409,116177,Q1643166
32058,Q52409,116160,Q2398526
32058,Q52409,116094,Q3177130
32058,Q52409,116123,Q3234838
26990,Q2482423,85081,Q12125783
26990,Q2482423,86911,Q7334782
26990,Q2482423,86946,Q2301603
25128,Q504627,116167,Q1213752
25128,Q504627,115922,Q542527
25128,Q504627,83023,Q734672
25128,Q504627,115905,Q1215948
25128,Q504627,115996,Q25503
25128,Q504627,83586,Q553649
25128,Q504627,116096,Q734672
8722,Q55422,87835,Q389911
8722,Q55422,94454,Q551823
8722,Q55422,87012,Q466792
8722,Q55422,84666,Q635569
8722,Q55422,91241,Q1050838
8722,Q55422,89425,Q747551
72664,Q8006,95208,Q39946
72664,Q8006,95206,Q189540
72664,Q8006,80033,Q257818
72664,Q8006,95155,Q847709
72664,Q8006,92248,Q1543027
72664,Q8006,87475,Q244878
72664,Q8006,80136,Q565231
72664,Q8006,95205,Q575014
72664,Q8006,78789,Q948023
72664,Q8006,91221,Q660874
72664,Q8006,87622,Q2273270
72664,Q8006,95156,Q2297993
72664,Q8006,86462,Q135465
72664,Q8006,115698,Q1077915
72664,Q8006,80857,Q854990
72664,Q8006,83015,Q1475995
72664,Q8006,82496,Q2005041
72664,Q8006,83024,Q1341875
72664,Q8006,87368,Q152105
72664,Q8006,115700,Q152105
72664,Q8006,94181,Q678972
74445,Q236656,81728,Q7439322
18004,Q238616,90616,Q3230339
18004,Q238616,73067,Q3518630
18004,Q238616,97460,Q6025825
78020,Q970867,88181,Q785087
78020,Q970867,85656,Q116852
75446,Q2930228,73883,Q39049405
26679,Q711473,84784,Q584824
26679,Q711473,87402,Q1366560
23691,Q2141212,81433,Q3851789
23691,Q2141212,89504,Q739509
23691,Q2141212,95060,Q1046576
23691,Q2141212,83750,Q431772
23691,Q2141212,86012,Q2255971
23691,Q2141212,86255,Q930332
23691,Q2141212,81598,Q955416
25046,Q287887,92784,Q1610858
25046,Q287887,82917,Q714989
25046,Q287887,88114,Q106571
25046,Q287887,88103,Q107761
25046,Q287887,113521,Q102754
25046,Q287887,88101,Q106440
25046,Q287887,87201,Q1517616
25046,Q287887,93881,Q107894
79760,Q45306,92291,Q631936
28956,Q6831914,87019,Q7560256
28956,Q6831914,90168,Q511591
80940,Q240370,94691,Q3283781
22039,Q555691,79561,Q2928795
22039,Q555691,115662,Q927919
77320,Q316802,91693,Q1171679
77320,Q316802,83053,Q2541350
52646,Q55430,95051,Q260379
52646,Q55430,87158,Q1299823
52646,Q55430,91140,Q2276999
52646,Q55430,82771,Q665146
52646,Q55430,79258,Q166588
52646,Q55430,94366,Q1190863
52646,Q55430,85900,Q151784
74709,Q3035874,68461,Q30126990
74709,Q3035874,87765,Q7732380
74709,Q3035874,69465,Q6469551
74709,Q3035874,73931,Q61770383
74709,Q3035874,86610,Q12126625
74709,Q3035874,70996,Q85320879
37577,Q734925,95341,Q714531
78659,Q7701861,87855,Q573823
78659,Q7701861,87815,Q223887
2943,Q55432,87855,Q573823
2943,Q55432,90415,Q1004410
2943,Q55432,87812,Q574993
2943,Q55432,87815,Q223887
2943,Q55432,90395,Q641346
2943,Q55432,94813,Q505790
2943,Q55432,89209,Q269326
10205,Q446294,85177,Q2316927
10205,Q446294,91079,Q455552
10205,Q446294,85613,Q3269372
10205,Q446294,85178,Q2545805
77343,Q2157024,83157,Q1570133
17038,Q460090,90484,Q1134041
17038,Q460090,92618,Q874496
17038,Q460090,87069,Q2832686
17038,Q460090,83158,Q2249404
17038,Q460090,86856,Q12105566
23664,Q53009,87342,Q749191
23664,Q53009,82739,Q239630
23664,Q53009,89609,Q2276844
23664,Q53009,83631,Q570567
23664,Q53009,81415,Q212775
23664,Q53009,83632,Q1619096
23664,Q53009,93183,Q124697
22140,Q269796,84608,Q1031821
22140,Q269796,79686,Q151923
22140,Q269796,84670,Q1225134
22140,Q269796,81476,Q3209050
22140,Q269796,83492,Q2302087
78363,Q4666414,86910,Q149995
76772,Q6793366,93134,Q4550854
76772,Q6793366,81002,Q1398280
76772,Q6793366,80977,Q5287568
4115,Q977546,94854,Q466846
4115,Q977546,93408,Q3067091
4115,Q977546,83064,Q1962105
4115,Q977546,90650,Q162997
28166,Q2837702,86124,Q917248
28166,Q2837702,86122,Q1078890
28166,Q2837702,88726,Q464651
28166,Q2837702,86120,Q239756
28166,Q2837702,86133,Q587498
28166,Q2837702,86106,Q217189
28166,Q2837702,115673,Q917248
28166,Q2837702,115679,Q239756
62561,Q19504,88821,Q280682
62561,Q19504,88696,Q384325
62561,Q19504,81425,Q1659395
62561,Q19504,88584,Q1498122
62561,Q19504,85408,Q1766802
62561,Q19504,81182,Q151599
62561,Q19504,88032,Q739241
62561,Q19504,107884,Q127021
62561,Q19504,79550,Q128930
62561,Q19504,86295,Q570143
62561,Q19504,88585,Q1810167
62561,Q19504,86276,Q1169701
62561,Q19504,85581,Q18341272
27760,Q2257282,85705,Q224964
76868,Q1362717,88437,Q1122534
76868,Q1362717,88501,Q2789837
76868,Q1362717,84660,Q1258295
76868,Q1362717,82916,Q1471671
76868,Q1362717,81302,Q180098
76868,Q1362717,95553,Q3316380
76868,Q1362717,81316,Q938137
32645,Q273164,94542,Q488595
32645,Q273164,91043,Q540361
53327,Q179497,81328,Q1348423
53327,Q179497,84002,Q471159
53327,Q179497,91093,Q885894
53327,Q179497,86523,Q750077
53327,Q179497,91449,Q844303
53327,Q179497,87003,Q2297385
53327,Q179497,93595,Q332348
53327,Q179497,85174,Q937087
53327,Q179497,89206,Q190643
72668,Q938050,81403,Q567975
72668,Q938050,93467,Q532264
72668,Q938050,91647,Q1351911
72668,Q938050,91448,Q1098140
72668,Q938050,81562,Q700725
72668,Q938050,88179,Q478626
72668,Q938050,98333,Q851611
72668,Q938050,89773,Q482626
72668,Q938050,85675,Q213683
72670,Q129079,93467,Q532264
72670,Q129079,91448,Q1098140
72670,Q129079,88179,Q478626
72670,Q129079,84571,Q372514
72670,Q129079,80837,Q2127397
72670,Q129079,84882,Q222018
76748,Q318292,87619,Q4817961
76748,Q318292,92744,Q1196370
76748,Q318292,95246,Q2341889
76748,Q318292,95232,Q1119583
76748,Q318292,90968,Q3823021
76748,Q318292,87020,Q2451844
76748,Q318292,94273,Q1968139
76748,Q318292,83134,Q1212396
76748,Q318292,86390,Q1185312
76748,Q318292,95243,Q1218963
77764,Q5531140,87619,Q4817961
77764,Q5531140,84963,Q303136
78587,Q822540,87619,Q4817961
11444,Q51488,88349,Q1535980
11444,Q51488,88375,Q2241601
11444,Q51488,110613,Q1306380
11444,Q51488,88376,Q1212252
11444,Q51488,88382,Q2521232
11444,Q51488,88381,Q1504568
11444,Q51488,110610,Q1504568
11444,Q51488,110611,Q1535980
11444,Q51488,110612,Q2241601
11444,Q51488,88377,Q1306380
27094,Q1479869,85179,Q578809
80980,Q6832300,94838,Q508841
80981,Q525463,94838,Q508841
72793,Q51566,83103,Q1141252
72793,Q51566,94817,Q2534007
72793,Q51566,84562,Q923925
72793,Q51566,90470,Q2268296
72793,Q51566,89514,Q2517431
72793,Q51566,90781,Q1150713
72793,Q51566,83149,Q1703991
71896,Q16230635,93611,Q6532367
9672,Q508452,84661,Q3203619
16925,Q711178,84661,Q3203619
16925,Q711178,95213,Q2846031
16925,Q711178,85462,Q1213044
16925,Q711178,87072,Q3791672
16925,Q711178,95197,Q543931
16925,Q711178,87651,Q224926
16925,Q711178,85329,Q1637360
67509,Q320025,88612,Q267321
67509,Q320025,91452,Q1137831
67509,Q320025,87839,Q839341
67509,Q320025,92634,Q1070275
67509,Q320025,84623,Q1747211
67509,Q320025,85455,Q106428
67509,Q320025,95204,Q1127184
77817,Q942796,88612,Q267321
77817,Q942796,85077,Q1740859
23467,Q358322,90429,Q250252
23467,Q358322,89576,Q6202867
23467,Q358322,84610,Q727890
23467,Q358322,87779,Q934911
23467,Q358322,84577,Q110206
71743,Q1637771,81260,Q5411239
71743,Q1637771,80018,Q7755740
71743,Q1637771,98262,Q3205730
71743,Q1637771,70966,Q28123336
25575,Q1384661,83439,Q338442
25575,Q1384661,84681,Q939424
25575,Q1384661,85306,Q2452327
25576,Q323243,83439,Q338442
25576,Q323243,83683,Q1346566
23520,Q316051,88429,Q1544085
23520,Q316051,81264,Q1342900
23520,Q316051,95636,Q220423
23520,Q316051,85472,Q660894
23520,Q316051,93135,Q648977
29642,Q5546132,87627,Q1129503
79895,Q329193,92624,Q2275081
79896,Q919750,92624,Q2275081
31661,Q981229,115902,Q753122
31661,Q981229,93297,Q1304948
31661,Q981229,115915,Q2044488
31661,Q981229,91038,Q2385009
23060,Q709973,115902,Q753122
23060,Q709973,88123,Q128982
23060,Q709973,80909,Q1810886
29391,Q6258777,87398,Q3208719
35705,Q3513928,100501,Q767461
35705,Q3513928,93863,Q767461
35705,Q3513928,93862,Q5814772
35705,Q3513928,100502,Q5814772
69886,Q697131,84625,Q150949
69886,Q697131,90477,Q498990
69886,Q697131,92498,Q498867
69886,Q697131,84201,Q918901
69886,Q697131,87269,Q1122281
69886,Q697131,83863,Q1888182
69886,Q697131,83112,Q509913
69886,Q697131,83100,Q25057
69886,Q697131,83686,Q206388
69886,Q697131,88496,Q255376
26992,Q712878,88970,Q2182637
26992,Q712878,85082,Q661660
26992,Q712878,94535,Q1469311
77824,Q1459321,88970,Q2182637
77824,Q1459321,89407,Q586569
77824,Q1459321,85082,Q661660
28164,Q114063,88970,Q2182637
28164,Q114063,92769,Q1194413
28164,Q114063,86105,Q113268
36492,Q7614545,94483,Q5267205
36493,Q453494,94483,Q5267205
34475,Q2153025,92774,Q1931816
34476,Q612737,92774,Q1931816
21568,Q202597,78794,Q975564
21568,Q202597,93098,Q3213723
21568,Q202597,90023,Q734186
21568,Q202597,80099,Q3226570
21568,Q202597,94161,Q1361789
21568,Q202597,90688,Q3213723
21568,Q202597,85175,Q696413
79923,Q1738056,92669,Q287274
79923,Q1738056,94820,Q845652
34074,Q6551921,92669,Q287274
34074,Q6551921,92468,Q1193825
77325,Q91077,83090,Q313764
25734,Q456979,83624,Q756882
25734,Q456979,87388,Q909239
25734,Q456979,87878,Q909910
36340,Q577569,100504,Q1388799
36340,Q577569,94370,Q1388799
36340,Q577569,94396,Q30641565
4630,Q507728,87807,Q596583
4630,Q507728,95634,Q1332776
4630,Q507728,80913,Q713979
4630,Q507728,95560,Q804611
4630,Q507728,81293,Q2031626
4630,Q507728,81462,Q1059199
67999,Q6531044,93405,Q514565
75167,Q21028286,71285,Q3887593
70733,Q850385,79966,Q5220932
70733,Q850385,79185,Q2779010
70733,Q850385,83875,Q955018
78189,Q1971768,89767,Q3407141
78189,Q1971768,86152,Q51416
78189,Q1971768,93973,Q244604
78189,Q1971768,94120,Q497082
78189,Q1971768,92770,Q842073
52976,Q115990,89767,Q3407141
52976,Q115990,94120,Q497082
52976,Q115990,92770,Q842073
79214,Q1703212,89767,Q3407141
62490,Q457250,87955,Q3209424
62490,Q457250,90436,Q1347783
62490,Q457250,81186,Q162518
21443,Q6833415,80006,Q7622858
21443,Q6833415,83819,Q15039829
21443,Q6833415,80013,Q5610898
21443,Q6833415,80015,Q6927079
22960,Q16019046,80841,Q7302016
68594,Q16107356,80841,Q7302016
68594,Q16107356,85064,Q7739216
68594,Q16107356,94828,Q7655538
18255,Q545573,95358,Q1345242
18255,Q545573,90964,Q139245
18255,Q545573,92810,Q1132575
30862,Q948826,88917,Q168154
25306,Q982339,83156,Q165651
25306,Q982339,83155,Q165651
26480,Q4636,84682,Q780469
26480,Q4636,84552,Q63009
77713,Q3453579,84682,Q780469
70195,Q3368979,85330,Q517239
70195,Q3368979,83724,Q1056376
78591,Q1703930,87625,Q4384269
78495,Q1411841,87356,Q910705
78495,Q1411841,93479,Q910705
29337,Q235032,87356,Q910705
29337,Q235032,93479,Q910705
78643,Q725170,95406,Q1140085
78643,Q725170,95474,Q216720
78643,Q725170,92806,Q110138
78643,Q725170,94659,Q7783978
78643,Q725170,87781,Q611043
27641,Q193648,95406,Q1140085
27641,Q193648,92806,Q110138
27641,Q193648,95460,Q177930
27641,Q193648,90482,Q814334
70368,Q337226,115956,Q115210
70368,Q337226,116314,Q1406288
70368,Q337226,81477,Q1305215
70368,Q337226,116196,Q3024090
70368,Q337226,115851,Q1305215
70368,Q337226,94572,Q1624863
70368,Q337226,89302,Q1087039
70368,Q337226,115879,Q179532
70368,Q337226,83308,Q576371
55525,Q5982634,85176,Q909098
55525,Q5982634,92100,Q8038631
55525,Q5982634,78442,Q7757356
26635,Q95119,88816,Q1302406
26635,Q95119,86248,Q2481256
26635,Q95119,88033,Q477296
26635,Q95119,85508,Q1213081
26635,Q95119,84683,Q247130
75714,Q46512764,76219,Q59609261
75714,Q46512764,98183,Q46512820
71126,Q51133,89255,Q762789
71126,Q51133,85529,Q1263918
71126,Q51133,84565,Q643811
71126,Q51133,91315,Q633008
71126,Q51133,84540,Q1613737
71126,Q51133,95609,Q545243
82957,Q694877,116318,Q956960
82957,Q694877,116226,Q980998
82957,Q694877,115858,Q2929536
82957,Q694877,116002,Q2980780
83064,Q266222,115982,Q3043088
83064,Q266222,115987,Q13103735
18070,Q55392,85957,Q187276
